Am Birnstiel	27	07745	11.5662757028071	50.9237802557506	10
Friedrich-Engels-Strasse	13	07749	11.5929472977701	50.9236565227771	43
Inselplatz	1	07743	11.5918916224888	50.9291107474829	1
Jenergasse	2	07743	11.5859842139587	50.9295316990592	1
Kahlaische Strasse	8	07745	11.5794749410888	50.9187325974774	6
Lutherstrasse	194	07743	11.5588556270195	50.9353183733701	17
Quendelweg	16	07745	11.5791557312647	50.9061078543911	46
Steinweg	5	07743	11.5916947475133	50.9286846805033	1
Stifterstrasse	17d	07743	11.6093251901977	50.9494794017101	28
Stifterstrasse	17e	07743	11.609538141862	50.9496094189052	28
Hauptstrasse	11	07751	11.5187420913799	50.9602816199739	82
Mühlenweg	49	07751	11.5638670264471	50.9490214302971	86
Mühlenweg	51	07751	11.5637623220224	50.9490853922703	86
Schlehendornweg	9	07751	11.5636191778843	50.9488594080352	86
Schlehendornweg	11	07751	11.5637041790322	50.9488302960276	86
Ernst-Bloch-Ring	41	07743	11.6227829153229	50.9617372356922	29
Am Teich	6	07743	11.6151538101095	50.9525819653688	31
Beutnitzer Strasse	27	07749	11.6007260416858	50.9302273073483	34
Stockholmer Strasse	2	07747	11.6194455659042	50.8780134728256	64
Ilmstrasse	16	07743	11.6056132128063	50.9456199860849	3
Friedrich-Engels-Strasse	13a	07749	11.5932122223756	50.923626288347	43
Curt-Unckel-Strasse	1	07745	11.5806319239001	50.9241943303771	6
Thomas-Mann-Strasse	34	07743	11.5872886047101	50.9369506976778	20
Thomas-Mann-Strasse	36	07743	11.5873181777955	50.9369920794556	20
Thomas-Mann-Strasse	38	07743	11.5873605638886	50.9370410664348	20
Thomas-Mann-Strasse	40	07743	11.5873863361127	50.9370884706005	20
Thomas-Mann-Strasse	42	07743	11.5874228074861	50.9371340819757	20
Karl-Schmid-Ring	16	07743	11.6211779748619	50.9598560755812	29
Heckenweg	15	07745	11.5832261190686	50.8919675327677	49
Heckenweg	17	07745	11.5831126626382	50.8919401610184	49
Jägerbergstrasse	105	07743	11.6079137983399	50.9698800610406	29
Jägerbergstrasse	107	07743	11.6109718242639	50.9702138702642	29
Hermelinweg	1	07749	11.6279342123676	50.9300701761059	38
Steingraben	20	07749	11.6064687864706	50.9302066815213	35
Alte Dorfstrasse	36b	07751	11.6338300346115	50.8892334485564	77
Rudolf-Breitscheid-Strasse	60	07747	11.6296642436551	50.8802493756401	61
Laasaner Oberweg	26a	07751	11.6412579274774	50.9517851012936	75
Hornstrasse	2b	07745	11.577031205173	50.9251290950902	13
Stockholmer Strasse	12	07747	11.6159149085291	50.8784399612657	64
In den Bornwiesen	2	07749	11.6212367214194	50.9202150322799	39
Nennsdorfer Weg	6	07745	11.5567183587605	50.9039973666247	45
In den Halben Äckern	13	07751	11.6557418680256	50.8861879365824	78
In den Halben Äckern	9	07751	11.6554430388165	50.8864806954194	78
Am Pfaffenstieg	2a	07743	11.5738820910648	50.9391911655069	18
Franz-Loewen-Strasse	5	07745	11.5922929835252	50.8849270713218	50
Martin-Niemöller-Strasse	12	07747	11.6091416688333	50.8899550674765	59
St.-Florian-Weg	9	07751	11.5227700876507	50.9623235247703	82
Maurerstrasse	51	07749	11.5988668781481	50.9281615103167	34
Johann-Nikolaus-Bach-Weg	11a	07743	11.6244565848537	50.9651218814202	30
Carl-Orff-Strasse	31	07743	11.626030595102	50.9669779401476	30
Otto-Eppenstein-Strasse	2	07745	11.5888229853922	50.8849579791602	50
Am Saaleufer	43	07743	11.5946851438506	50.929899938879	1
Beutnitzer Strasse	9	07749	11.6015003656992	50.9311919722156	34
Jenaische Strasse	36	07747	11.6032507167415	50.8945838796295	59
Unterdorfstrasse	29a	07749	11.5917216482711	50.9059508285301	60
An der Osterwiese	13	07749	11.5958771815991	50.9192157477302	44
Ammerbacher Strasse	118	07745	11.5552811661097	50.9045996736132	45
Mendelssohnweg	17	07743	11.6207503167821	50.966176305361	30
Leutra	20d	07751	11.56605313268	50.8694271968112	80
Van-Gogh-Strasse	14	07751	11.516672754603	50.9285637002661	81
Löbstedter Strasse	71	07749	11.6049622501112	50.9442903116233	3
Schulgasse	3a	07743	11.6137441943871	50.9592033010185	29
Rubensstrasse	2	07751	11.5171798576866	50.9280841882132	81
Kaninchenweg	2	07749	11.6308314587142	50.9283337973964	38
Rudolstädter Strasse	66a	07745	11.583861908852	50.8939405117681	48
Döbereinerstrasse	86	07745	11.5670955166134	50.9254836626426	10
Döbereinerstrasse	88	07745	11.5671523357815	50.9252287391763	10
Kaninchenweg	24	07749	11.6303179136819	50.9278907292115	38
Döbereinerstrasse	90	07745	11.5674388517356	50.9252563229563	10
Döbereinerstrasse	92	07745	11.5673104504202	50.925742117785	10
Döbereinerstrasse	94	07745	11.5670726455264	50.9257412378085	10
Göschwitzer Strasse	10	07745	11.5978491212728	50.896415309849	32
Kaninchenweg	33	07749	11.6302078460006	50.9277119577513	38
Kaninchenweg	35	07749	11.6303250483296	50.9277292480031	38
Naumburger Strasse	74	07743	11.6118042927084	50.950712122954	31
Weimarische Strasse	3b	07751	11.5122855653396	50.9589987912793	82
Gartenweg	24	07751	11.5198173963215	50.9598290981364	82
Kaninchenweg	37	07749	11.6305586282244	50.9277622000886	38
Kaninchenweg	3	07749	11.6305738498512	50.9284034980517	38
Kaninchenweg	8	07749	11.6301370712513	50.9281740706975	38
Kaninchenweg	10	07749	11.6298447241021	50.9281232874107	38
Kaninchenweg	13	07749	11.6285717236538	50.928058487381	38
Kaninchenweg	17	07749	11.6286067081059	50.9277876437757	38
