55	Saaletalschule	11.6056536999706	50.8842251369975	00.21	Karl-Marx-Allee 11	True
56	Schulgebäude	11.6142368155423	50.8817589354167	Raum 6	Emil-Wölk-Str. 11	False
57	AWO Schulungszentrum	11.615927383669	50.8848675344751	EG Seminarraum 04.01	Kastanienstr. 11	True
58	Lobdeburgschule Jena	11.6130657989583	50.8909717126903	Raum 02.00-09 Aula	Unter der Lobdeburg 4	True
59	Ganztagsgrundschule SteinMalEins	11.6050027075151	50.8932717577952	Speiseraum im Backsteinhaus	Susanne-Bohl-Str. 2	True
60	Gaststätte Schöne Aussicht	11.5965311486045	50.9038888922577	Bauernstube	Wöllnitzer Str. 95	False
61	SBS für Gesundheit u. Soziales	11.6311729689469	50.8799290929675	E 18	Rudolf-Breitscheid-Str. 56	False
62	Seniorenzentrum Käthe Kollwitz	11.6282882022533	50.8832687822638	Andachtsraum	Schlegelstr. 1	True
63	Seniorenzentrum Käthe Kollwitz	11.6282882022533	50.8832687822638	Konferenzraum	Schlegelstr. 1	True
64	Schulgebäude Erlanger Alle 151	11.6378321698691	50.8792376870086	01_14	Erlanger Allee 151	False
65	Schulgebäude Erlanger Alle 151	11.6378321698691	50.8792376870086	01_15	Erlanger Allee 151	False
66	Seniorenbegegnungszentrum	11.6212034495595	50.8819691612674	EG Saal	Ernst-Schneller-Str. 10	True
67	Wohnpark Lebenszeit	11.6235460149309	50.8805018184484	Foyer	Rudolf-Breitscheid-Str. 2	True
68	Begegnungsstätte "Alt und Jung"	11.5757274	50.9005801	Begegnungsraum	Anna-Siemsen-Str. 1	True
69	Schillerschule	11.5731788735528	50.8972351108861	Anbau großer Raum	Hugo-Schrade-Str. 3	True
70	Grundschule An der Trießnitz	11.573649148597	50.9032573088743	Aula	Buchenweg 34	True
71	Ortsteilrat Winzerla	11.5751455435002	50.8983457827899	Büro Ortsteilrat	Anna-Siemsen-Str. 45	True
72	Schillerschule	11.5731788735528	50.8972351108861	Musikraum 00-03.01	Hugo-Schrade-Str. 3	True
73	Seniorenheim Am Kleinertal	11.5726112069389	50.9015625465103	Clubraum	Friedrich-Zucker-Str. 2	True
74	Schillerschule	11.5731788735528	50.8972351108861	Aula	Hugo-Schrade-Str. 3	True
75	Alte Schule Kunitz	11.6366600698228	50.9548331854623	Versammlungsraum 1. OG	Lange Str. 62	False
76	Gemeindesaal Jenaprießnitz	11.6513581074907	50.9286051944322	Saal	Am Tanzsaal 6	True
77	Gemeindesaal Drackendorf	11.6319650729039	50.8877710358353	Gemeindesaal	Alte Dorfstr. 20	True
78	Heimatverein Ilmnitz	11.6520542294103	50.8874485615774	Vereinsraum	Ilmnitzer Dorfstr. 14	True
79	Gaststätte Goldenes Schiff	11.5981461992366	50.8673805501727	Vereinsraum	Alter Handelsweg 2	False
80	FFW Leutra	11.567067346974	50.8695286884627	Schulungsraum 1. Etage	Leutra 112	False
81	Feuerwehrvereinshaus Münchenroda	11.5127553220166	50.9290404587427	Bauernstube 1. OG	Münchenroda 27a	False
82	Gemeindebüro Isserstedt	11.5225370120281	50.9609336308393	Versammlungsraum	Am Rasen 1	False
83	FFW Vierzehnheiligen	11.5374736476589	50.9735867358751	Schulungsraum 1. OG	Vierzehnheiligen 20b	False
84	FFW Krippendorf	11.5505979490758	50.9751039330594	Schulungsraum 1. OG	Am Gönnabach 8	False
85	Vereinshaus Lützeroda	11.5553486529259	50.9581247841157	Versammlungsraum	Zum Ziskauer Tal 11	False
86	Gemeindebüro Cospeda	11.5573793671162	50.9494802488798	Versammlungsraum	Jenaer Str. 1	True
87	FFW Closewitz	11.5733695055668	50.9603284060903	Schulungsraum 1. OG	Closewitz 23	False
